違規態樣,件數,金額總和,金額平均
延長勞工之工作時間連同正常工作時間，1日不得超過12小時；延長之工作時間，1個月不得超過46小時,2,70000,35000
雇主未置備勞工工資清冊，或未將發放工資、工資各項目計算方式明細、工資總額等事項記入工資清冊，或未保存勞工工資清冊5年,2,40000,20000
工資應全額直接給付勞工。,2,40000,20000
勞工之特別休假，因年度終結或契約終止而未休之日數，雇主應發給工資。,2,40000,20000
工資未依法給付給勞工;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,2,80000,40000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平…；延長工作時間超過法令規定,2,220000,110000
未依法給付預告期間之工資,2,40000,20000
未依法給付休息日工作之工資;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,2,140000,70000
工資未如期全額給付勞工,2,40000,20000
未依規定置備勞工出勤紀錄，並保存五年,2,180000,90000
雇主對受僱者之退休、資遣、離職及解僱，不得因性別或性傾向而有差別待遇。,2,600000,300000
勞工於公傷病假期間，雇主未按其原領工資數額補償,2,40000,20000
未依規定發給服務證明,2,40000,20000
違反主管機關限期給付工資之命令,2,40000,20000
拒絕受僱者為生理假之請求,2,40000,20000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平日每小時工資額加給三分之一以上。二、再延長工作時間在二小時以內者，按平日每小時工資額加給三分之二以上。…雇主使勞工於第三十六條所定休息日工作，工作時間在二小時以內者，其工資按平日每小時工資額另再加給一又三分之一以上；工作二小時後再繼續工作者，按平日每小時工資額另再加給一又三分之二以上。,2,40000,20000
延長工時未依規定加給工資,2,70000,35000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平...,2,70000,35000
延長勞工之工作時間連同正常工作時間，1日不得超過12小時；延長之工作時間，1個月不得超過46小時。,2,150000,75000
未依規定期間預告終止勞動契約,2,50000,25000
未依規定加給平日延長工作時間工資。,2,70000,35000
違反規定訂定定期契約,2,40000,20000
延長勞工之工作時間，一個月超過46小時,2,70000,35000
工資未依法給付給勞工;工資未定期給付勞工，或未提供工資各項目計算方式明細,2,80000,40000
延長工作時間超過法令規定;延長工作時間未依規定加給工資;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,2,310000,155000
職場性騷擾防治,2,100000,50000
依規定應放假之日未予休假。,2,40000,20000
延長工作時間不符法定要件,2,40000,20000
雇主未依規定加給勞工延長工作時間工資,2,40000,20000
請假期間未依規定給予工資,2,40000,20000
工資未依法給付給勞工;延長工作時間未依規定加給工資,2,80000,40000
工資未全額直接給付勞工;未依規定置備勞工出勤紀錄表。,2,220000,110000
工資未全額直接給付勞工;未逐日記載勞工出勤情形至分鐘為止;未依規定給予特別休假。,2,120000,60000
出勤紀錄未逐日記載勞工出勤情形至分鐘為止;未依法給付休息日工作之工資,2,80000,40000
未逐日記載勞工出勤情形至分鐘為止或未依規定給予出勤紀錄。,2,40000,20000
延長工作時間未經勞資會議同意,2,70000,35000
